"fecha";"Run Fondo";"serie";"periodo";"rent"
2023-03-30;"8257";APV;"1Y";"3.11%"
2023-03-30;"8257";APV;YTD;-6.65%
2023-03-31;"8257";APV;"1M";-4.37%
2023-03-31;"8257";APV;"3M";-6.52%
2023-03-31;"8257";APV;"6M";-15.92%
2023-03-31;"8257";APV;"1Y";"3.16%"
2023-03-31;"8257";APV;YTD;-6.51%
2023-04-01;"8257";APV;"1M";-2.64%
2023-04-01;"8257";APV;"3M";-6.52%
2023-04-01;"8257";APV;"6M";-15.92%
2023-04-01;"8257";APV;"1Y";"3.77%"
2023-04-01;"8257";APV;YTD;-6.50%
2023-04-02;"8257";APV;"1M";-2.56%
2023-04-02;"8257";APV;"3M";-6.52%
2023-04-02;"8257";APV;"6M";-15.91%
2023-04-02;"8257";APV;"1Y";"3.79%"
2023-04-02;"8257";APV;YTD;-6.49%
2023-04-03;"8257";APV;"1M";-0.53%
2023-04-03;"8257";APV;"3M";-4.82%
2023-04-03;"8257";APV;"6M";-14.32%
2023-04-03;"8257";APV;"1Y";"5.23%"
2023-04-03;"8257";APV;YTD;-5.19%
2023-04-04;"8257";APV;"1M";"0.64%"
2023-04-04;"8257";APV;"3M";-4.04%
2023-04-04;"8257";APV;"6M";-11.05%
2023-04-04;"8257";APV;"1Y";"7.04%"
2023-04-04;"8257";APV;YTD;-4.07%
2023-04-05;"8257";APV;"1M";"0.58%"
2023-04-05;"8257";APV;"3M";-4.23%
2023-04-05;"8257";APV;"6M";-12.12%
2023-04-05;"8257";APV;"1Y";"6.46%"
2023-04-05;"8257";APV;YTD;-4.10%
2023-04-06;"8257";APV;"1M";"1.88%"
2023-04-06;"8257";APV;"3M";-2.58%
2023-04-06;"8257";APV;"6M";-11.81%
2023-04-06;"8257";APV;"1Y";"5.53%"
2023-04-06;"8257";APV;YTD;-3.56%
2023-04-07;"8257";APV;"1M";"2.49%"
2023-04-07;"8257";APV;"3M";-2.58%
2023-04-07;"8257";APV;"6M";-11.91%
2023-04-07;"8257";APV;"1Y";"3.80%"
2023-04-07;"8257";APV;YTD;-3.55%
2023-04-08;"8257";APV;"1M";"1.89%"
2023-04-08;"8257";APV;"3M";-2.57%
2023-04-08;"8257";APV;"6M";-11.90%
2023-04-08;"8257";APV;"1Y";"3.00%"
2023-04-08;"8257";APV;YTD;-3.54%
2023-04-09;"8257";APV;"1M";"2.15%"
2023-04-09;"8257";APV;"3M";-1.50%
2023-04-09;"8257";APV;"6M";-11.90%
2023-04-09;"8257";APV;"1Y";"3.02%"
2023-04-09;"8257";APV;YTD;-3.52%
2023-04-10;"8257";APV;"1M";"3.49%"
2023-04-10;"8257";APV;"3M";-0.26%
2023-04-10;"8257";APV;"6M";-11.15%
2023-04-10;"8257";APV;"1Y";"3.89%"
2023-04-10;"8257";APV;YTD;-2.70%
2023-04-11;"8257";APV;"1M";"2.26%"
2023-04-11;"8257";APV;"3M";-0.48%
2023-04-11;"8257";APV;"6M";-11.15%
2023-04-11;"8257";APV;"1Y";"2.14%"
2023-04-11;"8257";APV;YTD;-3.84%
2023-04-12;"8257";APV;"1M";"1.15%"
2023-04-12;"8257";APV;"3M";-1.17%
2023-04-12;"8257";APV;"6M";-12.04%
2023-04-12;"8257";APV;"1Y";"2.52%"
2023-04-12;"8257";APV;YTD;-4.87%
2023-04-13;"8257";APV;"1M";-0.49%
2023-04-13;"8257";APV;"3M";-2.28%
2023-04-13;"8257";APV;"6M";-13.88%
2023-04-13;"8257";APV;"1Y";"1.88%"
2023-04-13;"8257";APV;YTD;-5.70%
2023-04-14;"8257";APV;"1M";"0.00%"
2023-04-14;"8257";APV;"3M";-2.10%
2023-04-14;"8257";APV;"6M";-14.26%
2023-04-14;"8257";APV;"1Y";"0.83%"
2023-04-14;"8257";APV;YTD;-5.51%
2023-04-15;"8257";APV;"1M";-2.04%
2023-04-15;"8257";APV;"3M";-2.09%
2023-04-15;"8257";APV;"6M";-14.25%
2023-04-15;"8257";APV;"1Y";"0.84%"
2023-04-15;"8257";APV;YTD;-5.50%
2023-04-16;"8257";APV;"1M";-2.90%
2023-04-16;"8257";APV;"3M";-1.77%
2023-04-16;"8257";APV;"6M";-14.25%
2023-04-16;"8257";APV;"1Y";"0.86%"
2023-04-16;"8257";APV;YTD;-5.49%
2023-04-17;"8257";APV;"1M";-3.12%
2023-04-17;"8257";APV;"3M";-1.19%
2023-04-17;"8257";APV;"6M";-15.33%
2023-04-17;"8257";APV;"1Y";"1.37%"
2023-04-17;"8257";APV;YTD;-5.00%
2023-04-18;"8257";APV;"1M";-3.85%
2023-04-18;"8257";APV;"3M";-0.92%
2023-04-18;"8257";APV;"6M";-16.33%
2023-04-18;"8257";APV;"1Y";"0.26%"
